Format Version,1.23,Take Name,Take 2023-04-19 05.18.13 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-04-19 05.18.14.345 오후,Capture Start Frame,230959,Total Frames in Take,5379,Total Exported Frames,5379,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
29,0.241667,0.335240,0.658588,0.488524,0.463919,0.041608,0.120695,0.033780,0.000966,0.158465,0.167227,0.039098,0.737533,0.205671,0.183608,0.034564,0.819799,0.242580,0.227040,0.021461,0.376235,0.295798,0.185386,0.035114,0.897875,0.158724,0.167189,0.038173,0.205610,0.183571,0.033917,0.242323,0.227040,0.024166,0.295684,0.185484,0.035162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,0.338247,0.657377,0.490424,0.461442,0.041529,0.120753,0.033898,0.000969,0.158434,0.167172,0.039150,0.751145,0.205632,0.183563,0.034569,0.826017,0.242517,0.227079,0.021680,0.383270,0.295762,0.185285,0.034791,0.903545,0.158671,0.167144,0.038184,0.205563,0.183529,0.033878,0.242264,0.226992,0.024132,0.295643,0.185449,0.035119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,0.338370,0.657178,0.490643,0.461402,0.041470,0.120688,0.033744,0.000973,0.158377,0.167097,0.039044,0.756925,0.205577,0.183488,0.034481,0.832160,0.242467,0.227010,0.021624,0.364612,0.295707,0.185205,0.034718,0.887987,0.158622,0.167069,0.038103,0.205520,0.183469,0.033812,0.242223,0.226929,0.024153,0.295580,0.185382,0.035109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,0.334715,0.658768,0.488239,0.464341,0.041469,0.120499,0.033623,0.000972,0.158316,0.167053,0.038963,0.756925,0.205523,0.183436,0.034441,0.832160,0.242435,0.226855,0.021306,0.364612,0.295650,0.185227,0.035052,0.887987,0.158579,0.167018,0.038103,0.205468,0.183398,0.033728,0.242173,0.226871,0.024083,0.295536,0.185313,0.035079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,0.335066,0.658441,0.488806,0.463955,0.041442,0.120399,0.033514,0.000969,0.158280,0.166971,0.038911,0.768841,0.205483,0.183371,0.034408,0.826746,0.242383,0.226820,0.021339,0.312584,0.295609,0.185181,0.035007,0.962284,0.158541,0.166928,0.038025,0.205422,0.183342,0.033718,0.242123,0.226822,0.024076,0.295496,0.185273,0.035047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,0.336958,0.657820,0.489863,0.462349,0.041377,0.120394,0.033604,0.000973,0.158246,0.166897,0.038913,0.768841,0.205443,0.183302,0.034362,0.826746,0.242324,0.226801,0.021405,0.312584,0.295571,0.185078,0.034729,0.962284,0.158499,0.166867,0.038021,0.205385,0.183271,0.033646,0.242071,0.226766,0.024052,0.295473,0.185206,0.034894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,0.336126,0.658336,0.489183,0.462939,0.041364,0.120313,0.033690,0.000980,0.158219,0.166858,0.038956,0.770945,0.205414,0.183263,0.034395,0.822614,0.242294,0.226737,0.021350,0.326843,0.295542,0.185061,0.034816,0.956655,0.158473,0.166828,0.038077,0.205347,0.183222,0.033690,0.242037,0.226721,0.024030,0.295435,0.185169,0.034898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,0.343079,0.654449,0.494787,0.457360,0.041277,0.120450,0.033382,0.000986,0.158219,0.166749,0.038847,0.770945,0.205403,0.183198,0.034317,0.822614,0.242245,0.226902,0.021953,0.326843,0.295533,0.184891,0.034164,0.956655,0.158451,0.166762,0.037979,0.205321,0.183185,0.033618,0.242002,0.226688,0.023997,0.295401,0.185147,0.034920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,0.338203,0.657477,0.490533,0.461216,0.041289,0.120295,0.033720,0.000979,0.158174,0.166766,0.038947,0.772829,0.205364,0.183179,0.034357,0.814807,0.242226,0.226713,0.021464,0.357189,0.295493,0.184941,0.034554,0.895111,0.158420,0.166745,0.038073,0.205300,0.183144,0.033619,0.241969,0.226650,0.024021,0.295375,0.185101,0.034923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,0.336021,0.658278,0.489289,0.462985,0.041289,0.120171,0.033566,0.000976,0.158135,0.166733,0.038869,0.772829,0.205329,0.183145,0.034322,0.814807,0.242206,0.226626,0.021290,0.357189,0.295456,0.184957,0.034769,0.895111,0.158393,0.166698,0.038008,0.205271,0.183113,0.033591,0.241944,0.226617,0.023979,0.295351,0.185063,0.034897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
